00007e	1	16756	CLUSTRIX CORPORATION
00007f	1	16756	LINOTYPE-HELL AG
000080	1	16756	CRAY COMMUNICATIONS A/S
000081	1	16756	Bay Networks
000082	1	16756	LECTRA SYSTEMES SA
000083	1	16756	TADPOLE TECHNOLOGY PLC
000084	1	16756	SUPERNET
000085	1	16756	CANON INC.
000086	1	16756	MEGAHERTZ CORPORATION
000087	1	16756	HITACHI, LTD.
000088	1	18317	Brocade Communications Systems LLC
000089	1	16756	CAYMAN SYSTEMS INC.
00008a	1	16756	DATAHOUSE INFORMATION SYSTEMS
00008b	1	16756	INFOTRON
00008c	1	16756	Alloy Computer Products (Australia) Pty Ltd
00008d	1	16756	Cryptek Inc.
00008e	1	16756	SOLBOURNE COMPUTER, INC.
00008f	1	16756	Raytheon
000090	1	16756	MICROCOM
000091	1	16756	ANRITSU CORPORATION
000092	1	16756	COGENT DATA TECHNOLOGIES
000093	1	16756	PROTEON INC.
000094	1	16756	ASANTE TECHNOLOGIES
000095	1	16756	SONY TEKTRONIX CORP.
000096	1	16756	MARCONI ELECTRONICS LTD.
000097	1	17373	Dell EMC
000098	1	16756	CROSSCOMM CORPORATION
000099	1	16756	MTX, INC.
00009a	1	16756	RC COMPUTER A/S
00009b	1	16756	INFORMATION INTERNATIONAL, INC
00009c	1	16756	ROLM MIL-SPEC COMPUTERS
00009d	1	16756	LOCUS COMPUTING CORPORATION
00009e	1	16756	MARLI S.A.
00009f	1	16756	AMERISTAR TECHNOLOGIES INC.
0000a0	1	16756	SANYO Electric Co., Ltd.
0000a1	1	16756	MARQUETTE ELECTRIC CO.
0000a2	1	16756	Bay Networks
0000a3	1	16756	NETWORK APPLICATION TECHNOLOGY
0000a4	1	16756	ACORN COMPUTERS LIMITED
0000a5	1	16756	Tattile SRL
0000a6	1	16756	NETWORK GENERAL CORPORATION
0000a7	1	16756	NETWORK COMPUTING DEVICES INC.
0000a8	1	17559	Stratus Technologies
0000a9	1	16756	NETWORK SYSTEMS CORP.
0000aa	1	16756	XEROX CORPORATION
0000ab	1	16756	LOGIC MODELING CORPORATION
0000ac	1	16756	CONWARE COMPUTER CONSULTING
0000ad	1	16756	BRUKER INSTRUMENTS INC.
0000ae	1	16756	DASSAULT ELECTRONIQUE
0000af	1	16756	Canberra Industries, Inc.
0000b0	1	16756	RND-RAD NETWORK DEVICES
0000b1	1	16756	Alpha Micro
0000b2	1	16756	TELEVIDEO SYSTEMS, INC.
0000b3	1	16756	CIMLINC INCORPORATED
0000b4	1	17370	Edimax Technology Co. Ltd.
0000b5	1	16756	DATABILITY SOFTWARE SYS. INC.
0000b6	1	16756	MICRO-MATIC RESEARCH
0000b7	1	16756	DOVE COMPUTER CORPORATION
0000b8	1	16756	SEIKOSHA CO., LTD.
0000b9	1	16756	MCDONNELL DOUGLAS COMPUTER SYS
0000ba	1	16756	SIIG, INC.
0000bb	1	16756	TRI-DATA
0000bc	1	16756	Rockwell Automation
0000bd	1	19032	RYOSEI, Ltd.
0000be	1	16756	THE NTI GROUP
0000bf	1	16756	SYMMETRIC COMPUTER SYSTEMS
0000c0	1	16756	WESTERN DIGITAL CORPORATION
0000c1	1	16756	Madge Ltd.
0000c2	1	16756	INFORMATION PRESENTATION TECH.
0000c3	1	17643	Harris Corporation
0000c4	1	16756	WATERS DIV. OF MILLIPORE
0000c5	1	20012	Commscope
0000c6	1	16756	EON SYSTEMS
0000c7	1	16756	ARIX CORPORATION
0000c8	1	16756	ALTOS COMPUTER SYSTEMS
0000c9	1	16756	Emulex Corporation
0000ca	1	20012	Commscope
